X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,target_id,run_id
[0.01465161 0.01465162],[0.00532876 0.00532876],[0.00975517 0.00975517],[0.006263 0.006263],[0.00738155 0.00738155],[0.08504345 0.08504345],[0.02855064 0.02855064],[0.01759037 0.01759037],[0.00844218 0.00844218],[0.01123764 0.01123764],[0.01051918 0.01051918],[0.03341796 0.03341796],[0.01878443 0.01878443],[0.00449891 0.00449891],[0.01247435 0.01247435],[0.02053858 0.02053858],[0.01034817 0.01034817],[0.00390149 0.00390148],[0.00491089 0.00491089],[0.01522642 0.01522642],[0.01557525 0.01557525],[0.02028924 0.02028924],[0.01503096 0.01503096],4,0
[0.00622097 0.00622097],[0.00690452 0.00690452],[0.00927355 0.00927355],[0.00084269 0.00084269],[0.01092457 0.01092457],[0.08875128 0.08875128],[0.02912582 0.02912582],[0.0178391 0.0178391],[0.00706249 0.00706249],[0.01094646 0.01094646],[0.01028496 0.01028496],[0.02987952 0.02987952],[0.00850845 0.00850845],[0.00504919 0.00504919],[0.01447884 0.01447884],[0.02117358 0.02117358],[0.00669484 0.00669484],[0.00150004 0.00150004],[0.0055684 0.0055684],[0.02013869 0.02013869],[0.01859283 0.01859283],[0.02010521 0.02010521],[0.02446669 0.02446669],4,1
[0.00730604 0.00730604],[0.0074525 0.0074525],[0.00693718 0.00693718],[0.00240448 0.00240448],[0.00883289 0.00883289],[0.08845343 0.08845343],[0.02822262 0.02822262],[0.01898401 0.01898401],[0.00678805 0.00678805],[0.011598   0.01159799],[0.01049075 0.01049075],[0.03193542 0.03193542],[0.01818761 0.01818761],[0.00839241 0.00839241],[0.01439014 0.01439014],[0.01883841 0.01883841],[0.00860239 0.00860239],[0.00221157 0.00221157],[0.00979564 0.00979564],[0.0223044 0.0223044],[0.0185802 0.0185802],[0.02190532 0.02190532],[0.02625272 0.02625272],4,2
[0.01445713 0.01445713],[0.00418607 0.00418607],[0.00705924 0.00705924],[0.00331036 0.00331036],[0.00264251 0.00264251],[0.0854663 0.0854663],[0.02775404 0.02775404],[0.01789991 0.01789991],[0.00860533 0.00860533],[0.01262442 0.01262442],[0.01082149 0.01082149],[0.03225573 0.03225573],[0.02157822 0.02157822],[0.00585629 0.00585629],[0.01559176 0.01559176],[0.02389966 0.02389966],[0.00983484 0.00983484],[0.00529834 0.00529834],[0.00914722 0.00914722],[0.01901172 0.01901172],[0.01694752 0.01694752],[0.02254826 0.02254826],[0.01951427 0.01951427],4,3
[0.01232331 0.01232331],[0.00412414 0.00412414],[0.00656163 0.00656163],[0.00415862 0.00415862],[0.00489985 0.00489985],[0.08512429 0.08512429],[0.02818615 0.02818615],[0.0176547 0.0176547],[0.00756296 0.00756296],[0.01237055 0.01237055],[0.01015146 0.01015146],[0.02783718 0.02783718],[0.02085539 0.02085539],[0.00194486 0.00194486],[0.01723935 0.01723934],[0.01959746 0.01959746],[0.00800708 0.00800708],[0.00375492 0.00375492],[0.00797658 0.00797658],[0.01850448 0.01850448],[0.01446992 0.01446992],[0.02277667 0.02277667],[0.01105356 0.01105356],4,4
[0.00889371 0.00889371],[0.00484679 0.00484679],[0.00823152 0.00823152],[0.0079164 0.0079164],[0.01418241 0.01418241],[0.04028912 0.04028912],[0.04336442 0.04336442],[0.0367376 0.0367376],[0.04019967 0.04019967],[0.03681863 0.03681863],[0.03169108 0.03169108],[0.00829211 0.00829211],[0.01071015 0.01071015],[0.00881905 0.00881905],[0.0016614 0.0016614],[0.00503872 0.00503872],[0.0064536 0.0064536],[0.01191806 0.01191806],[0.00411864 0.00411864],[0.01009798 0.01009798],[0.00588035 0.00588035],[0.00523898 0.00523898],[0.00757851 0.00757851],5,0
[0.00785618 0.00785618],[0.00456393 0.00456393],[0.00836173 0.00836173],[0.00939705 0.00939705],[0.01500372 0.01500372],[0.03752353 0.03752353],[0.04434959 0.04434959],[0.03434151 0.03434151],[0.03618039 0.03618039],[0.03627977 0.03627977],[0.02653832 0.02653832],[0.00850806 0.00850806],[0.00661316 0.00661316],[0.00792387 0.00792387],[0.00226374 0.00226374],[0.00591274 0.00591274],[0.01008326 0.01008326],[0.01061327 0.01061327],[0.00469758 0.00469758],[0.02114152 0.02114152],[0.00465175 0.00465175],[0.0058129 0.0058129],[0.00792726 0.00792726],5,1
[0.00623796 0.00623796],[0.00469298 0.00469298],[0.00822219 0.00822219],[0.00894305 0.00894305],[0.01439301 0.01439301],[0.03700934 0.03700934],[0.0410096 0.0410096],[0.03463315 0.03463315],[0.03989835 0.03989835],[0.03442098 0.03442098],[0.02573176 0.02573176],[0.00897025 0.00897025],[0.00341486 0.00341486],[0.00792348 0.00792348],[0.00274534 0.00274534],[0.00724011 0.00724011],[0.00957674 0.00957674],[0.01136544 0.01136544],[0.0043196 0.0043196],[0.02125645 0.02125645],[0.00460355 0.00460355],[0.00572032 0.00572032],[0.00918639 0.00918639],5,2
[0.00600778 0.00600778],[0.00472517 0.00472517],[0.00842498 0.00842498],[0.00907451 0.00907451],[0.01372284 0.01372284],[0.03837454 0.03837454],[0.04214894 0.04214894],[0.03255331 0.03255331],[0.03929351 0.03929351],[0.03775864 0.03775864],[0.02621774 0.02621774],[0.00776952 0.00776952],[0.00671097 0.00671097],[0.00845535 0.00845535],[0.00122442 0.00122442],[0.00597391 0.00597391],[0.00865328 0.00865328],[0.00863604 0.00863604],[0.01069744 0.01069744],[0.02112611 0.02112611],[0.00464202 0.00464202],[0.00565737 0.00565737],[0.0075168 0.0075168],5,3
[0.00537842 0.00537842],[0.00488783 0.00488783],[0.00824894 0.00824894],[0.00752162 0.00752162],[0.0141078 0.0141078],[0.03094351 0.03094351],[0.04148375 0.04148375],[0.03784388 0.03784388],[0.04062447 0.04062447],[0.03644531 0.03644531],[0.02867923 0.02867923],[0.00912911 0.00912911],[0.00828061 0.00828061],[0.00775704 0.00775704],[0.00200794 0.00200794],[0.00531548 0.00531548],[0.00812868 0.00812868],[0.01086936 0.01086936],[0.00228266 0.00228266],[0.00919608 0.00919608],[0.00289029 0.00289029],[0.0066798 0.0066798],[0.00829638 0.00829638],5,4
