X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,target_id,run_id
[0.05196274 0.05196274],[0.00101933 0.00101933],[0.00382208 0.00382208],[0.00548993 0.00548993],[0.00013644 0.00013644],[0.03349753 0.03349753],[0.00841297 0.00841297],[0.00331892 0.00331892],[0.00935758 0.00935758],[0.05573435 0.05573436],[0.00516973 0.00516973],[0.00903456 0.00903456],[0.00613653 0.00613653],[0.00417123 0.00417123],[0.00252623 0.00252623],[0.0044091 0.0044091],[0.01522217 0.01522217],[0.002665 0.002665],[0.00239518 0.00239518],[0.00083913 0.00083913],[0.03009143 0.03009143],[0.00259889 0.00259889],[0.00554902 0.00554902],4,0
[0.04900484 0.04900484],[0.0010394 0.0010394],[0.00263834 0.00263834],[0.00512739 0.00512739],[0.0016271 0.0016271],[0.03146603 0.03146603],[0.00680311 0.00680311],[0.00348371 0.00348371],[0.00761641 0.00761641],[0.05655504 0.05655504],[0.00753159 0.00753159],[0.00769356 0.00769356],[0.00574024 0.00574024],[0.00261501 0.00261501],[0.00373755 0.00373755],[0.00088827 0.00088827],[0.01147769 0.01147769],[0.00438865 0.00438865],[0.0058321 0.0058321],[0.00205657 0.00205657],[0.02004598 0.02004599],[0.01849461 0.01849461],[0.00312121 0.00312121],4,1
[0.04335165 0.04335165],[0.00037057 0.00037057],[0.00165065 0.00165065],[0.00364346 0.00364346],[0.0045831 0.0045831],[0.03399809 0.03399809],[0.00853121 0.00853121],[0.00402579 0.00402579],[0.01303228 0.01303228],[0.05195578 0.05195578],[0.00839009 0.00839009],[0.00986622 0.00986622],[0.00792406 0.00792406],[0.00130298 0.00130298],[0.0058077 0.0058077],[0.00544776 0.00544776],[0.01568559 0.0156856 ],[0.00464658 0.00464658],[0.00120193 0.00120193],[0.00229195 0.00229195],[0.02522709 0.02522709],[0.00361472 0.00361472],[0.00406593 0.00406593],4,2
[0.0483418 0.0483418],[0.00050283 0.00050283],[0.00222918 0.00222918],[0.00436928 0.00436928],[0.00337493 0.00337493],[0.03291908 0.03291908],[0.00779971 0.00779971],[0.00303148 0.00303148],[0.00932738 0.00932738],[0.05088917 0.05088917],[0.00663016 0.00663016],[0.01143533 0.01143533],[0.00761001 0.00761001],[0.00185115 0.00185115],[0.00184276 0.00184276],[0.00230186 0.00230186],[0.01458303 0.01458303],[0.00317991 0.00317991],[0.00194712 0.00194712],[0.00083094 0.00083094],[0.02909914 0.02909914],[0.01132913 0.01132913],[0.00436642 0.00436642],4,3
[0.04883932 0.04883932],[0.00085601 0.00085601],[0.00437732 0.00437732],[0.00781208 0.00781208],[0.00370689 0.00370689],[0.03246825 0.03246825],[0.00770239 0.00770239],[0.00478632 0.00478632],[0.00931789 0.00931789],[0.05874571 0.05874571],[0.0068422 0.0068422],[0.01147176 0.01147176],[0.00344583 0.00344583],[0.00193429 0.00193429],[0.00455796 0.00455796],[0.00249948 0.00249948],[0.01522492 0.01522492],[0.00185758 0.00185758],[0.00700252 0.00700252],[0.00058122 0.00058122],[0.01728157 0.01728158],[0.00177895 0.00177895],[0.00232233 0.00232233],4,4
[0.03643482 0.03643482],[0.00154288 0.00154288],[0.0011674 0.0011674],[0.00443011 0.00443011],[0.01256023 0.01256023],[0.02538544 0.02538544],[0.01612418 0.01612418],[0.00270385 0.00270385],[0.01246414 0.01246414],[0.0080615 0.0080615],[0.01035903 0.01035903],[0.0197579 0.0197579],[0.00714634 0.00714634],[0.01527421 0.01527421],[0.01861189 0.01861189],[0.00199005 0.00199006],[0.00832818 0.00832818],[0.00171067 0.00171067],[0.00368003 0.00368003],[0.00509382 0.00509382],[0.00120154 0.00120154],[0.01482986 0.01482986],[0.00577683 0.00577683],5,0
[0.04065792 0.04065792],[0.00043358 0.00043358],[0.00369995 0.00369995],[0.00785543 0.00785543],[0.00552323 0.00552323],[0.02477355 0.02477355],[0.01112467 0.01112467],[0.00188998 0.00188998],[0.01248146 0.01248146],[0.00850892 0.00850892],[0.00685102 0.00685102],[0.02046631 0.02046631],[0.00367126 0.00367126],[0.01309877 0.01309877],[0.01194525 0.01194525],[0.00116417 0.00116417],[0.00378024 0.00378024],[0.00888767 0.00888767],[0.00051431 0.00051431],[0.0049355 0.0049355],[0.01309055 0.01309055],[0.02138727 0.02138727],[0.00585179 0.00585179],5,1
[0.05884331 0.05884331],[0.00020189 0.00020189],[0.00443844 0.00443844],[0.0052768 0.0052768],[0.00675512 0.00675512],[0.0242768 0.0242768],[0.00855003 0.00855003],[0.00083792 0.00083792],[0.00958003 0.00958003],[0.00541066 0.00541066],[0.00654882 0.00654882],[0.00986095 0.00986095],[0.00856452 0.00856453],[0.00148271 0.00148271],[0.01030558 0.01030558],[0.00435544 0.00435544],[0.00355917 0.00355917],[0.03051408 0.03051408],[0.01818352 0.01818352],[0.00245985 0.00245985],[0.00555115 0.00555115],[0.00771574 0.00771574],[0.01587469 0.01587469],5,2
[0.04215453 0.04215453],[0.00018879 0.00018879],[0.00431233 0.00431233],[0.00844441 0.00844441],[0.01149885 0.01149885],[0.02700735 0.02700735],[0.01573882 0.01573882],[0.00207733 0.00207733],[0.0103523 0.0103523],[0.00676011 0.00676011],[0.00947013 0.00947013],[0.02327563 0.02327563],[0.00080528 0.00080528],[0.01177144 0.01177144],[0.02452109 0.02452109],[0.00132318 0.00132318],[0.00612226 0.00612226],[0.01555921 0.01555921],[0.00578632 0.00578632],[0.00256246 0.00256246],[0.00361582 0.00361582],[0.00188624 0.00188624],[0.00109361 0.00109361],5,3
[0.04892727 0.04892727],[0.00066616 0.00066616],[0.00460006 0.00460006],[0.00461112 0.00461112],[0.00467133 0.00467133],[0.02843946 0.02843946],[0.0149055 0.0149055],[0.00256385 0.00256385],[0.01258984 0.01258984],[0.00774743 0.00774743],[0.0078315 0.0078315],[0.01565179 0.01565179],[0.00679224 0.00679224],[0.00836498 0.00836498],[0.00831076 0.00831076],[0.00172789 0.00172789],[0.00244004 0.00244004],[0.00888809 0.00888809],[0.01949902 0.01949902],[0.00509817 0.00509817],[0.00433005 0.00433005],[0.00178077 0.00178078],[0.00791422 0.00791422],5,4
